number,state,created,closed,type,component_v1,root_cause_v1,severity_v1,confidence_v1,refined,component_v2,root_cause_v2,severity_v2,confidence_v2,fix_reason,note
28,CLOSED,2026-02-06,2026-02-06,feature,sbom-scanning,n/a,none,high,no,sbom-scanning,n/a,none,,,"Feature request placeholder for full SBOM workflow: generation, storage, scanning, policies, alerts."
51,CLOSED,2026-02-07,2026-02-07,feature,ci-cd-release,n/a,none,high,no,ci-cd-release,n/a,none,,,"Add automated red team security testing suite (Dockerfile, scripts, profiles)."
54,CLOSED,2026-02-07,2026-02-07,defect,storage-cas,upstream-dependency,degraded,high,yes,storage-cas,upstream-dependency,degraded,med,"PR55 backend/src/storage/s3.rs refreshes STS creds before presign; STS TTL upstream dep","Presigned URL lifetime capped by STS credential TTL; creds fetched once at startup, not refreshed."
65,CLOSED,2026-02-09,2026-02-09,defect,storage-cas,path-normalization,wrong-result,high,yes,storage-cas,path-normalization,wrong-result,high,"PR74 promotion.rs bypassed key_to_path sharding so source file not found on copy","Promotion staging->local fails 'No such file or directory'; CAS path mismatch during copy."
66,CLOSED,2026-02-09,2026-02-09,defect,rate-limiting,design-gap-other,degraded,high,yes,rate-limiting,design-gap-other,degraded,high,"PR74 routes.rs rate-limit too aggressive, not per-endpoint-class; design gap","Rate limiter too aggressive, blocks normal admin session after ~40-50 reqs; not per-endpoint-class."
67,CLOSED,2026-02-09,2026-02-09,defect,format-generic,config-error,degraded,high,yes,api-routing,config-error,degraded,high,"PR74 api/routes.rs added DefaultBodyLimit on shared router; not format-specific","5MB upload returns 413; global Axum body size limit too low vs documented 512MB."
68,CLOSED,2026-02-09,2026-02-09,defect,rate-limiting,auth-logic,wrong-result,high,yes,rate-limiting,auth-logic,wrong-result,high,"PR74 routes.rs middleware order; rate limiter ran before auth, masked 401 as 429","Invalid JWT returns 429 not 401; rate limiter runs before auth in middleware pipeline."
69,CLOSED,2026-02-09,2026-02-09,defect,api-routing,validation-input,security,high,yes,api-routing,validation-input,security,high,"PR74 repositories.rs validate_repository_key allowlist blocks traversal/SQLi/XSS","Repo key accepts path traversal, SQLi, XSS, null bytes, empty; no allowlist validation."
70,CLOSED,2026-02-09,2026-02-09,defect,api-routing,validation-input,degraded,high,yes,api-routing,validation-input,degraded,high,"PR74 repositories.rs key length check returns 400 not 500 before DB insert","300-char repo key returns 500 instead of 400; missing key length validation before DB insert."
71,CLOSED,2026-02-09,2026-02-09,defect,rate-limiting,design-gap-other,degraded,high,yes,rate-limiting,design-gap-other,degraded,high,"PR74 routes.rs global rate bucket not split read-vs-write; design gap","20 concurrent GET reads mostly 429; global rate bucket not split read-vs-write per-method."
72,CLOSED,2026-02-09,2026-02-09,defect,format-generic,error-handling,wrong-result,high,yes,format-generic,data-integrity,wrong-result,med,"PR74 download_response.rs + wrong storage_key in DB record caused empty download body","Download endpoint returns empty body but still increments download count; records before streaming."
73,CLOSED,2026-02-09,2026-02-09,defect,api-routing,error-handling,wrong-result,med,yes,api-routing,error-handling,wrong-result,med,"PR74 admin stats endpoint returned empty/unparseable response","GET /api/v1/admin/stats returns empty/unparseable response when authed as admin"
77,CLOSED,2026-02-09,2026-02-09,chore,api-routing,n/a,none,high,no,api-routing,n/a,none,,,"Add utoipa OpenAPI annotations to all 288 API handlers"
78,CLOSED,2026-02-09,2026-02-09,test,ci-cd-release,n/a,none,high,no,ci-cd-release,n/a,none,,,"Add CI contract test diffing generated OpenAPI spec against committed spec"
80,CLOSED,2026-02-09,2026-02-09,enhancement,config-deploy,n/a,none,high,no,config-deploy,n/a,none,,,"DB TLS connections crash-loop; SQLx built without TLS support, add it"
85,CLOSED,2026-02-09,2026-02-09,defect,api-routing,config-error,degraded,high,yes,api-routing,config-error,degraded,high,"PR84 backend/src/main.rs CORS default lacked private-net origins; 502 from LAN IP","502 on upload/token from LAN IP; CORS_ORIGINS lacks private-net origins in dev mode"
93,CLOSED,2026-02-10,2026-02-11,question,auth-rbac-sso,n/a,none,med,no,auth-rbac-sso,n/a,none,,,"User cannot login as admin first time despite reading admin.password; support question"
95,CLOSED,2026-02-10,2026-02-10,defect,api-routing,config-error,degraded,med,yes,api-routing,config-error,degraded,high,"PR97 api/routes.rs global 512MB DefaultBodyLimit fixes silent 2MB truncation","File uploads silently dropped; investigate CORS dev mode and body size limits"
96,CLOSED,2026-02-10,2026-02-10,enhancement,sbom-scanning,n/a,none,high,no,sbom-scanning,n/a,none,,,"DependencyTrack NVD mirror sync fails; add proxy passthrough and auto-enable NVD API 2.0"
113,CLOSED,2026-02-12,2026-02-12,feature,format-swift-other,n/a,none,high,no,format-swift-other,n/a,none,,,"Parent feature: Protobuf/Buf Schema Registry format support"
114,CLOSED,2026-02-12,2026-02-12,feature,format-swift-other,n/a,none,high,no,format-swift-other,n/a,none,,,"Add protobuf database migrations and models"
115,CLOSED,2026-02-12,2026-02-12,feature,format-swift-other,n/a,none,high,no,format-swift-other,n/a,none,,,"Add protobuf service layer for module management"
116,CLOSED,2026-02-12,2026-02-12,feature,format-swift-other,n/a,none,high,no,format-swift-other,n/a,none,,,"Implement protobuf format handler with BSR wire protocol"
117,CLOSED,2026-02-12,2026-02-12,feature,format-swift-other,n/a,none,high,no,format-swift-other,n/a,none,,,"Add protobuf API endpoints and OpenAPI annotations (BSR-compatible)"
118,CLOSED,2026-02-12,2026-02-12,test,format-swift-other,n/a,none,high,no,format-swift-other,n/a,none,,,"Add E2E tests for protobuf push/pull with buf CLI"
132,CLOSED,2026-02-13,2026-02-13,defect,format-cargo,format-compat,wrong-result,high,yes,format-cargo,format-compat,wrong-result,high,"PR138 formats/cargo.rs rsplitn mis-parsed pre-release crate filename versions","parse_crate_filename rsplitn mis-parses pre-release versions with hyphens"
133,CLOSED,2026-02-13,2026-02-13,defect,format-go,validation-input,wrong-result,high,yes,format-go,format-compat,wrong-result,high,"PR138 formats/go.rs go.mod token parsing of // indirect; format parsing bug","go.rs indirect flag never set; whitespace split tokenizes // and indirect separately"
134,CLOSED,2026-02-13,2026-02-13,defect,auth-rbac-sso,validation-input,wrong-result,high,yes,auth-rbac-sso,format-compat,wrong-result,med,"PR138 saml_service.rs missed self-closing AuthnStatement XML element parsing","SAML parse ignores self-closing AuthnStatement; session_index always None"
135,CLOSED,2026-02-13,2026-02-13,defect,sbom-scanning,validation-input,wrong-result,high,yes,sbom-scanning,validation-input,wrong-result,med,"PR138 quality_check_service.rs case-sensitive severity match; needs lowercase normalize","Severity counting case-sensitive; 'Critical'/'HIGH' silently counted as info"
136,CLOSED,2026-02-13,2026-02-13,defect,sbom-scanning,validation-input,wrong-result,high,yes,sbom-scanning,validation-input,wrong-result,med,"PR138 sbom Grade::from_score returns F for out-of-range scores >100","Grade::from_score returns F for scores above 100 due to bounded match range"
137,CLOSED,2026-02-13,2026-02-13,defect,plugins-wasm,validation-input,degraded,high,yes,plugins-wasm,validation-input,degraded,low,"PR138 plugin_manifest CapabilitiesConfig::default diverges from serde defaults","CapabilitiesConfig::default() all-false disagrees with serde default-true behavior"
140,CLOSED,2026-02-13,2026-02-13,defect,format-maven,validation-input,wrong-result,high,yes,format-maven,format-compat,wrong-result,high,"PR141 formats/maven.rs SNAPSHOT filename validation; Maven version format handling","Maven snapshot filename rejected; validation expects release prefix not timestamped snapshot"
149,CLOSED,2026-02-14,2026-02-15,question,proxy-remote,n/a,none,med,no,proxy-remote,n/a,none,,,"User unable to set up pull-through cache; asks if ProxyService implements format caching"
150,CLOSED,2026-02-14,2026-02-15,question,docs,n/a,none,high,no,docs,n/a,none,,,"User asks how to responsibly report security findings; no security disclosure process exists"
186,CLOSED,2026-02-16,2026-02-21,security-hardening,ci-cd-release,n/a,none,high,no,ci-cd-release,n/a,none,,,"Trivy findings in container image; update bundled grype/trivy, add scheduled scans"
188,CLOSED,2026-02-17,2026-03-20,enhancement,edge-replication,n/a,none,high,no,edge-replication,n/a,none,,,"Scored peer selection built but sync worker never calls it; wire in for source selection"
189,CLOSED,2026-02-17,2026-04-12,enhancement,edge-replication,n/a,none,high,no,edge-replication,n/a,none,,,"Chunked swarm transfer built but unused; wire into sync worker for large artifacts"
190,CLOSED,2026-02-17,2026-03-08,enhancement,edge-replication,n/a,none,high,no,edge-replication,n/a,none,,,"mark_stale_offline only called manually; add periodic background job for peer detection"
191,CLOSED,2026-02-17,2026-03-08,enhancement,edge-replication,n/a,none,high,no,edge-replication,n/a,none,,,"Failed sync tasks never retried; add retry_count/max_retries and reset on peer recovery"
192,CLOSED,2026-02-17,2026-02-19,feature,storage-cas,n/a,none,high,no,storage-cas,n/a,none,,,"tag_pattern_keep policy validated but no execute fn; add inverse-of-delete execution"
193,CLOSED,2026-02-17,2026-02-19,enhancement,storage-cas,n/a,none,high,no,storage-cas,n/a,none,,,"Change size_quota lifecycle eviction from FIFO created_at to LRU last_downloaded_at ordering"
194,CLOSED,2026-02-17,2026-02-17,defect,config-deploy,config-error,degraded,low,yes,config-deploy,config-error,degraded,high,"PR196 docker-compose.yml + docker/Caddyfile fix podman startup hang","Quickstart with podman compose hangs at starting; also wrong Caddyfile URL in docs"
195,CLOSED,2026-02-17,2026-02-18,defect,ui-web,ui-bug,degraded,med,yes,auth-rbac-sso,design-gap-other,degraded,high,"PR197 auth.rs/openapi.rs: /auth/tokens routes never registered + admin-scope validation; backend wiring gap, not ui-bug","Create token button does nothing; non-admin can also select admin scope option"
200,CLOSED,2026-02-17,2026-02-17,security-hardening,sbom-scanning,upstream-dependency,none,high,no,sbom-scanning,upstream-dependency,none,,,"Pin trivy/grype versions in Dockerfile to resolve CVE-2025-68121 and CVE-2026-25934"
202,CLOSED,2026-02-18,2026-02-19,enhancement,auth-rbac-sso,n/a,none,high,no,auth-rbac-sso,n/a,none,,,"Request first-tier long-lived CI/API keys not tied to human users, with granular repo scope"
203,CLOSED,2026-02-18,2026-02-18,feature,format-incus,n/a,none,high,no,format-incus,n/a,none,,,"Request support for Incus/lxc containers as artifact type with dependency scanning"
211,CLOSED,2026-02-18,2026-02-19,enhancement,auth-rbac-sso,n/a,none,high,no,auth-rbac-sso,n/a,none,,,"Make admin user optional/removable, especially for SSO deployments"
212,CLOSED,2026-02-18,2026-02-19,enhancement,auth-rbac-sso,n/a,none,high,no,auth-rbac-sso,n/a,none,,,"Idea to remove username field from User records for SSO-centric orgs"
213,CLOSED,2026-02-18,2026-02-19,enhancement,auth-rbac-sso,n/a,none,high,no,auth-rbac-sso,n/a,none,,,"Disallow non-SSO/local login on SSO-enabled instances"
217,CLOSED,2026-02-19,2026-02-21,enhancement,format-incus,n/a,none,med,no,format-incus,n/a,none,,,"Request larger artifact size limits for lxc/incus and Docker (10G+ images)"
218,CLOSED,2026-02-19,2026-02-20,enhancement,storage-cas,n/a,none,high,no,storage-cas,n/a,none,,,"GC on by default, per-repo settings, async immediate backend delete, min-versions/LTS retention"
235,CLOSED,2026-02-19,2026-02-19,enhancement,edge-replication,n/a,none,high,no,edge-replication,n/a,none,,,"Allow selective tag-based filtering on peer replication, reactive to tag changes"
236,CLOSED,2026-02-19,2026-02-19,defect,docs,ui-bug,cosmetic,high,yes,docs,ui-bug,cosmetic,high,"PR20 edits migration .mdx; duplicate h1 from front-matter+heading, pure docs rendering","Duplicated title on from-artifactory migration docs page"
237,CLOSED,2026-02-19,2026-02-20,defect,storage-cas,config-error,degraded,med,yes,storage-cas,design-gap-other,degraded,high,"PR246: handlers hardcoded FilesystemStorage ignoring STORAGE_BACKEND; code gap not user config-error","S3 config not used, falls back to filesystem; proxy fails to load AWS credentials (related to #245)"
238,CLOSED,2026-02-19,2026-02-20,defect,auth-rbac-sso,config-error,degraded,low,yes,auth-rbac-sso,design-gap-other,degraded,high,"PR249 sso.rs/main.rs: OIDC env vars never bootstrapped into DB; code never read env, not config-error","OIDC (Keycloak) config not used behind Nginx; SKIP_ADMIN_PROVISIONING also not working"
245,CLOSED,2026-02-19,2026-02-20,defect,storage-cas,design-gap-other,wrong-result,high,yes,storage-cas,design-gap-other,wrong-result,high,"PR246: format handlers hardcode FilesystemStorage; storage abstraction design gap, matches current","Format handlers hardcode FilesystemStorage, ignoring STORAGE_BACKEND=s3; uploads go to local fs"
